ID,Sales Rank,Date,Review Score,Review Count
0553522779,799.0,"July 28, 2015",4.78,1122
1596471328,217944.0,"January 1, 2007",4.63,8
0981973353,711910.0,"March 30, 2011",5.0,12
0822549328,8034749.0,"August 1, 1998",4.0,1
061559722X,1069427.0,"November 28, 2014",5.0,4
0544531213,667498.0,"April 7, 2015",5.0,2
1592701515,52221.0,"May 6, 2014",4.85,95
0778736245,4342429.0,"October 15, 2007",0.0,0
054514311X,5145.0,"September 1, 2010",4.48,164
1505420830,1900860.0,"December 8, 2014",5.0,2
0439241006,35221.0,"February 1, 2003",4.41,90
0544630904,564967.0,"May 3, 2016",5.0,3
0794424694,1185625.0,"January 3, 2012",4.79,23
0395979021,619012.0,"October 25, 1999",4.54,156
1426316143,46425.0,"September 24, 2013",4.92,13
0399250581,151613.0,"August 21, 2008",4.04,30
1568471815,12037967.0,"June 1, 1994",0.0,0
1604333359,745859.0,"January 14, 2014",4.92,45
1442430486,55524.0,"October 4, 2011",4.55,103
9652290955,3072322.0,"January 1, 1993",4.0,5
1449461034,454734.0,"December 2, 2014",4.15,8
0142404675,95018.0,"December 29, 2005",4.62,1561
0761391967,384656.0,"August 1, 2013",4.9,10
1608863220,529362.0,"August 6, 2013",4.46,30
1617831158,3267447.0,"August 1, 2011",5.0,1
146771612X,542645.0,"January 1, 2014",5.0,12
0988308223,2055513.0,"December 1, 2012",5.0,8
0525428518,7623.0,"September 1, 2015",4.85,133
1620311054,2614847.0,"August 1, 2014",0.0,0
1617836672,4224973.0,"January 1, 2013",0.0,0
0448481529,31434.0,"October 9, 2014",4.92,46
0789212110,1058672.0,"June 10, 2014",4.17,18
0140369260,330181.0,"May 1, 1995",4.73,60
1921564334,2360437.0,"October 10, 2012",5.0,4
1416928103,89280.0,"September 25, 2007",4.38,38
1585362905,483147.0,"February 16, 2007",4.23,9
0199107416,5020336.0,"June 29, 2000",5.0,2
0736834060,1684121.0,"August 9, 2010",4.58,7
1493642421,3030266.0,"November 1, 2013",0.0,0
1250010241,175790.0,"September 4, 2012",4.72,37
0766014010,6524333.0,"October 1, 2000",3.0,1
051626415X,255420.0,"March 1, 1999",4.58,36
0062360639,7694.0,"April 28, 2015",4.79,64
1783251239,3388863.0,"October 7, 2014",5.0,1
0789211696,1437682.0,"March 25, 2014",5.0,3
0062352318,2009236.0,"September 15, 2015",3.38,21
1419712489,399302.0,"June 3, 2014",4.76,50
1589478517,2871148.0,"October 3, 2002",4.4,5
1856978656,2501129.0,"March 15, 1993",5.0,3
1423108744,628202.0,"July 15, 2008",4.74,35
1595663797,2620301.0,"January 7, 2007",0.0,0
1563054434,10007.0,"January 12, 1993",4.76,180
160270077X,1460577.0,"July 1, 2007",1.0,1
0544108086,24446.0,"September 3, 2013",4.84,38
0736430822,224181.0,"October 13, 2015",4.8,51
1619632578,19375.0,"February 24, 2015",4.59,772
0867131586,763275.0,"September 23, 2014",4.06,83
1893361470,432159.0,August 2002,4.67,3
0316340863,33887.0,"May 5, 2015",4.32,25
0439425921,149471.0,"February 1, 2004",4.6,10
1457187124,3113662.0,"August 6, 2015",0.0,0
1603800425,,,4.6,10
080750842X,68030.0,"September 1, 1997",4.82,16
0756698030,22605.0,"September 17, 2012",4.79,32
1477779434,8333481.0,"January 1, 2015",0.0,0
0811869997,152390.0,"July 1, 2009",4.46,17
1452131481,54039.0,"March 4, 2014",4.76,78
0590420577,78935.0,1990,4.45,48
0486444651,5781.0,"October 3, 2005",4.73,515
1563979314,1028046.0,"August 1, 2001",5.0,10
0064432793,37716.0,"February 28, 1992",4.28,49
1596982926,303749.0,"September 26, 2011",4.56,241
