ID,Title,Author
0545790352,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling
1419717014,Diary of a Wimpy Kid: Old School,Jeff Kinney
1423160916,"Magnus Chase and the Gods of Asgard, Book 1: The Sword of Summer",Rick Riordan
1476789886,Rush Revere and the Star-Spangled Banner,Rush Limbaugh
1338029991,Harry Potter Coloring Book,Scholastic
0399172750,The Day the Crayons Came Home,Drew Daywalt
0399255370,The Day the Crayons Quit,Drew Daywalt
0545392551,Giraffes Can't Dance,Giles Andreae
0399226907,The Very Hungry Caterpillar,Eric Carle
1481457047,Dork Diaries 10: Tales from a Not-So-Perfect Pet Sitter,Rachel Ren̩e Russell
0062304186,Pete the Cat: Five Little Pumpkins,James Dean
141694737X,Dear Zoo: A Lift-the-Flap Book (Dear Zoo & Friends),Rod Campbell
0803741715,The Book with No Pictures,B.J. Novak
0544568036,Little Blue Truck board book,Alice Schertle
0385376715,The Wonderful Things You Will Be,Emily Winfield Martin
0060256656,The Giving Tree,Shel Silverstein
0756634687,Animals (Baby Touch and Feel),DK Publishing
0553512331,Spooky Pookie,Sandra Boynton
0920668372,Love You Forever,Robert Munsch
0142501123,Room on the Broom,Julia Donaldson
0553522779,Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books
1484707230,Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),Rick Riordan
0805047905,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.
0800788036,Laugh-Out-Loud Jokes for Kids,Rob Elliott
0803736800,Dragons Love Tacos,Adam Rubin
0694003611,Goodnight Moon,Margaret Wise Brown
0671449028,The Going-To-Bed Book,Sandra Boynton
1442450703,"Chicka Chicka Boom Boom (Chicka Chicka Book, A)",Bill Martin Jr.
0763644765,Potty (Leslie Patricelli board books),Leslie Patricelli
0679805273,"Oh, The Places You'll Go!",Dr. Seuss
1250043239,Crenshaw,Katherine Applegate
0811877825,"Goodnight, Goodnight Construction Site",Sherri Duskey Rinker
0439845009,"Bob Books, Set 1: Beginning Readers",Bobby Lynn Maslen
1484720970,The Isle of the Lost: A Descendants Novel (The Descendants),Melissa de la Cruz
1484726383,Descendants: Mal's Spell Book,Disney Book Group
0811879542,Press Here,Herve Tullet
0312601557,On the Night You Were Born,Nancy Tillman
1101934859,Auggie & Me: Three Wonder Stories,R. J. Palacio
0385374151,Where Do Diggers Sleep at Night?,Brianna Caplan Sayres
0399176438,Happy!,Pharrell Williams
0736434704,The Star Wars Little Golden Book Library (Star Wars) (Little Golden Book: Star Wars),Various
1426310145,National Geographic Kids First Big Book of Space (National Geographic Little Kids First Big Books),Catherine D. Hughes
0553524267,What Pet Should I Get? (Classic Seuss),Dr. Seuss
0545703301,Klutz LEGO Chain Reactions Craft Kit,Pat Murphy and the Scientists of Klutz Labs
037584418X,"One, Two...Boo!",Kristen L. Depken
0375813659,"Magic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates Past Noon",Mary Pope Osborne
0062368435,Waiting,Kevin Henkes
0545448689,The Marvels,Brian Selznick
1419708457,"Rosie Revere, Engineer",Andrea Beaty
1938298071,What Do You Do With an Idea?,Kobi Yamada
0061900621,I'm a Big Sister,Joanna Cole
1476789878,Rush Revere and the American Revolution: Time-Travel Adventures With Exceptional Americans,Rush Limbaugh
1481405055,The Itsy Bitsy Pumpkin,Sonali Fry
0399163611,The Tournament at Gorlan (Ranger's Apprentice: The Early Years),John A. Flanagan
1423183657,Percy Jackson's Greek Heroes,Rick Riordan
038538369X,P is for Potty! (Sesame Street) (Lift-the-Flap),Random House
0060254920,Where the Wild Things Are,Maurice Sendak
0545861012,I Survived Collector's Toolbox (I Survived),Lauren Tarshis
0316199982,The Adventures of Beekle: The Unimaginary Friend,Dan Santat
1484709012,Serafina and the Black Cloak,Robert Beatty
0545504929,Captain Underpants and the Sensational Saga of Sir Stinks-A-Lot (Captain Underpants #12),Dav Pilkey
0763665118,The Princess in Black and the Perfect Princess Party,Shannon Hale
0547577311,A Long Walk to Water: Based on a True Story,Linda Sue Park
0375822666,"Magic Tree House Boxed Set, Books 5-8: Night of the Ninjas, Afternoon on the Amazon, Sunset of the Sabertooth, and Midnight on the Moon",Mary Pope Osborne
0062367145,Warriors Box Set: Volumes 1 to 6: The Complete First Series (Warriors: The Prophecies Begin),Erin Hunter
0545847303,Goosebumps Retro Scream Collection: Limited Edition Tin,R. L. Stine
