iter	MAPE
0	0.9985016769
1	0.996998831722	0.995508075533	0.994008198944	0.992513579
5	0.9910122538
6	0.9895100986
7	0.9880100881
8	0.9865044482
9	0.9850023484
10	0.9834984499
11	0.9819997595
12	0.9805013322
13	0.9790001069
14	0.977495135115	0.9759997219116	0.9744984412117	0.972999163
18	0.9715032596
19	0.9700014732
20	0.9685006907
21	0.9669999524
22	0.9654956515
23	0.9639936848
24	0.962490612
25	0.9609934
26	0.9595078559
27	0.9579980342
28	0.9565000463
29	0.9549957173
30	0.9534957019
31	0.9519920892
32	0.9504907217
33	0.9489841021
34	0.9474821424
35	0.9459821295
36	0.9444789343
37	0.9429764445
38	0.9414694455
39	0.9399680526
40	0.9384677207
41	0.9369633522
42	0.9354606939
43	0.9339405914
44	0.9324405087
45	0.9309364263
46	0.9294396647
47	0.9279380402
48	0.9264280195
49	0.9249263408
50	0.9234168751
