iter	Passed	Remaining
0	58	58633
1	97	48796
2	125	41600
3	153	38167
4	181	36128
5	214	35491
6	241	34303
7	269	33401
8	296	32648
9	322	31958
10	348	31365
11	376	31034
12	405	30758
13	434	30614
14	464	30478
15	493	30378
16	540	31264
17	580	31666
18	620	32056
19	659	32334
20	689	32142
21	715	31786
22	733	31146
23	751	30542
24	768	29980
25	786	29464
26	804	28994
27	821	28514
28	839	28107
29	857	27713
30	875	27353
31	893	27023
32	912	26725
33	930	26423
34	949	26170
35	967	25897
36	1005	26162
37	1042	26394
38	1083	26701
39	1124	26991
40	1174	27471
41	1224	27938
42	1280	28507
43	1312	28511
44	1363	28929
45	1416	29366
46	1463	29673
47	1499	29741
48	1537	29834
49	1571	29857
50	1603	29838
51	1636	29838
52	1667	29800
53	1702	29823
54	1736	29844
55	1779	30001
56	1824	30186
57	1860	30222
58	1888	30115
59	1907	29888
60	1928	29693
61	1953	29560
62	1979	29434
63	2003	29294
64	2022	29096
65	2053	29061
66	2086	29061
67	2117	29027
68	2146	28965
69	2179	28958
70	2198	28768
71	2217	28580
72	2238	28427
73	2258	28255
74	2276	28077
75	2295	27903
76	2314	27741
77	2334	27592
78	2353	27436
79	2373	27289
80	2396	27188
81	2426	27159
82	2454	27120
83	2487	27127
84	2525	27181
85	2571	27332
86	2617	27465
87	2655	27516
88	2678	27414
89	2700	27305
90	2721	27180
91	2741	27059
92	2759	26916
93	2778	26782
94	2798	26661
95	2819	26547
96	2837	26411
97	2854	26275
98	2873	26153
99	2891	26027
100	2909	25901
101	2930	25803
102	2949	25684
103	2968	25577
104	3002	25591
105	3020	25472
106	3037	25354
107	3060	25277
108	3078	25164
109	3097	25060
110	3117	24964
111	3136	24867
112	3155	24770
113	3180	24719
114	3207	24684
115	3233	24644
116	3261	24616
117	3286	24568
118	3314	24538
119	3339	24487
120	3363	24432
121	3390	24398
122	3423	24407
123	3456	24418
124	3489	24428
125	3526	24460
126	3559	24466
127	3577	24373
128	3596	24282
129	3616	24203
130	3636	24121
131	3655	24039
132	3674	23953
133	3694	23876
134	3716	23810
135	3737	23741
136	3755	23659
137	3775	23584
138	3795	23511
139	3816	23445
140	3836	23373
141	3852	23279
142	3870	23197
143	3890	23127
144	3909	23052
145	3928	22976
146	3947	22908
147	3966	22836
148	4006	22881
149	4030	22840
150	4048	22761
151	4069	22704
152	4087	22628
153	4106	22560
154	4126	22494
155	4145	22426
156	4163	22354
157	4182	22290
158	4200	22217
159	4221	22164
160	4240	22096
161	4259	22033
162	4278	21968
163	4297	21906
164	4316	21845
165	4336	21784
166	4354	21722
167	4374	21664
168	4395	21615
169	4430	21633
170	4461	21630
171	4495	21642
172	4524	21628
173	4545	21579
174	4571	21552
175	4591	21495
176	4612	21448
177	4633	21395
178	4652	21338
179	4670	21278
180	4685	21202
181	4706	21151
182	4725	21098
183	4745	21044
184	4763	20987
185	4781	20925
186	4802	20877
187	4821	20826
188	4840	20770
189	4848	20669
190	4866	20611
191	4885	20558
192	4904	20509
193	4925	20463
194	4945	20414
195	4963	20360
196	5001	20386
197	5023	20349
198	5043	20301
199	5067	20268
200	5085	20217
201	5107	20176
202	5126	20125
203	5145	20075
204	5164	20029
205	5183	19978
206	5203	19934
207	5222	19887
208	5242	19839
209	5261	19793
210	5279	19742
211	5297	19691
212	5316	19642
213	5333	19590
214	5352	19542
215	5370	19493
216	5389	19445
217	5416	19428
218	5446	19423
219	5477	19421
220	5526	19479
221	5552	19459
222	5580	19443
223	5600	19400
224	5619	19356
225	5638	19310
226	5657	19264
227	5675	19216
228	5695	19174
229	5714	19130
230	5734	19089
231	5754	19049
232	5772	19002
233	5791	18957
234	5810	18914
235	5828	18869
236	5848	18828
237	5867	18786
238	5888	18749
239	5908	18711
240	5928	18669
241	5947	18628
242	5968	18593
243	6010	18622
244	6034	18596
245	6053	18555
246	6083	18547
247	6123	18567
248	6162	18586
249	6196	18589
250	6232	18597
251	6269	18610
252	6301	18604
253	6335	18606
254	6365	18597
255	6402	18606
256	6439	18616
257	6479	18635
258	6523	18664
259	6567	18691
260	6604	18698
261	6627	18668
262	6646	18624
263	6664	18579
264	6683	18536
265	6702	18493
266	6722	18455
267	6741	18414
268	6760	18371
269	6780	18332
270	6799	18290
271	6819	18252
272	6838	18211
273	6857	18170
274	6876	18129
275	6896	18091
276	6915	18050
277	6934	18010
278	6955	17973
279	6974	17933
280	6992	17893
281	7035	17913
282	7054	17872
283	7072	17831
284	7096	17804
285	7117	17768
286	7142	17744
287	7165	17715
288	7195	17703
289	7232	17707
290	7278	17732
291	7324	17758
292	7373	17792
293	7416	17810
294	7458	17824
295	7504	17847
296	7548	17866
297	7582	17862
298	7605	17830
299	7625	17793
300	7646	17755
301	7666	17718
302	7694	17698
303	7730	17698
304	7775	17716
305	7817	17730
306	7857	17736
307	7885	17716
308	7908	17684
309	7929	17648
310	7951	17614
311	7971	17577
312	7992	17542
313	8011	17502
314	8060	17527
315	8078	17486
316	8096	17445
317	8114	17402
318	8133	17363
319	8151	17321
320	8170	17281
321	8188	17241
322	8210	17208
323	8238	17189
324	8260	17156
325	8292	17144
326	8330	17144
327	8356	17121
328	8390	17112
329	8433	17123
330	8473	17127
331	8516	17136
332	8553	17133
333	8585	17119
334	8613	17098
335	8636	17068
336	8656	17030
337	8676	16993
338	8695	16955
339	8714	16917
340	8733	16878
341	8752	16840
342	8772	16803
343	8793	16768
344	8812	16730
345	8831	16692
346	8850	16655
347	8867	16614
348	8886	16575
349	8906	16540
350	8925	16503
351	8944	16466
352	8961	16425
353	8981	16389
354	9000	16352
355	9019	16316
356	9068	16334
357	9086	16295
358	9105	16258
359	9121	16216
360	9141	16180
361	9161	16145
362	9181	16111
363	9200	16074
364	9218	16038
365	9252	16027
366	9287	16019
367	9321	16009
368	9356	16000
369	9389	15987
370	9421	15973
371	9452	15957
372	9494	15959
373	9538	15965
374	9582	15971
375	9632	15986
376	9665	15972
377	9692	15948
378	9711	15911
379	9730	15876
380	9748	15838
381	9766	15800
382	9784	15762
383	9803	15726
384	9822	15690
385	9837	15647
386	9854	15608
387	9873	15573
388	9893	15539
389	9911	15503
390	9926	15460
391	9945	15425
392	9966	15393
393	9985	15357
394	10003	15322
395	10022	15287
396	10039	15248
397	10088	15260
398	10118	15241
399	10138	15208
400	10154	15169
401	10173	15134
402	10191	15098
403	10204	15053
404	10220	15015
405	10240	14982
406	10253	14939
407	10271	14904
408	10286	14864
409	10301	14824
410	10318	14787
411	10336	14751
412	10356	14720
413	10390	14707
414	10420	14689
415	10448	14667
416	10477	14648
417	10506	14628
418	10549	14628
419	10592	14628
420	10632	14623
421	10647	14584
422	10659	14540
423	10678	14506
424	10689	14462
425	10705	14424
426	10720	14385
427	10735	14347
428	10749	14307
429	10762	14266
430	10780	14232
431	10798	14198
432	10813	14159
433	10825	14117
434	10837	14075
435	10848	14033
436	10866	13999
437	10877	13957
438	10896	13924
439	10912	13888
440	10927	13850
441	10944	13816
442	10954	13774
443	10969	13736
444	10988	13704
445	11004	13669
446	11019	13632
447	11033	13594
448	11047	13556
449	11059	13516
450	11108	13522
451	11129	13493
452	11147	13460
453	11161	13423
454	11170	13379
455	11184	13343
456	11203	13312
457	11221	13279
458	11248	13258
459	11258	13215
460	11272	13179
461	11287	13144
462	11302	13109
463	11311	13066
464	11324	13028
465	11342	12997
466	11370	12977
467	11395	12954
468	11419	12929
469	11442	12903
470	11467	12880
471	11496	12860
472	11529	12846
473	11568	12837
474	11604	12826
475	11635	12808
476	11649	12772
477	11668	12742
478	11686	12710
479	11705	12680
480	11725	12651
481	11744	12621
482	11756	12583
483	11772	12550
484	11785	12514
485	11803	12483
486	11816	12447
487	11832	12414
488	11845	12378
489	11860	12344
490	11873	12308
491	11889	12275
492	11909	12247
493	11927	12217
494	11944	12185
495	11964	12157
496	11991	12135
497	12011	12107
498	12030	12078
499	12041	12041
500	12060	12012
501	12080	11983
502	12169	12024
503	12213	12019
504	12226	11984
505	12254	11963
506	12274	11935
507	12290	11903
508	12307	11872
509	12324	11841
510	12340	11809
511	12359	11780
512	12376	11749
513	12397	11722
514	12426	11702
515	12452	11679
516	12477	11656
517	12504	11635
518	12535	11617
519	12570	11603
520	12598	11583
521	12643	11577
522	12675	11560
523	12706	11542
524	12737	11524
525	12769	11506
526	12785	11475
527	12800	11442
528	12821	11415
529	12839	11385
530	12860	11358
531	12876	11327
532	12895	11298
533	12914	11270
534	12935	11242
535	12955	11215
536	12969	11182
537	12983	11149
538	12999	11118
539	13019	11090
540	13029	11054
541	13044	11022
542	13063	10994
543	13081	10965
544	13101	10938
545	13121	10910
546	13136	10879
547	13152	10848
548	13172	10820
549	13240	10832
550	13272	10815
551	13298	10792
552	13315	10763
553	13331	10732
554	13350	10704
555	13366	10674
556	13387	10647
557	13407	10619
558	13425	10591
559	13445	10564
560	13465	10536
561	13490	10513
562	13523	10497
563	13553	10477
564	13584	10459
565	13620	10444
566	13655	10428
567	13691	10413
568	13723	10395
569	13752	10374
570	13778	10351
571	13799	10325
572	13816	10296
573	13832	10266
574	13849	10236
575	13864	10205
576	13881	10176
577	13900	10149
578	13920	10122
579	13937	10092
580	13953	10063
581	13970	10034
582	13990	10006
