,Unnamed: 0,level_0,index,ID,Brightness,Colorfulness,Entropy,UniqueColors,Keypoints,Color1R,Color1G,Color1B,Color2R,Color2G,Color2B,Image URL,Title,Author,Sales Rank,Date,Review Score
7427,7427,7427,8340,075663525X,0.56661296,67.31937313924216,7.347442,107576,0.02003673469387755,141,152,68,111,111,72,http://ecx.images-amazon.com/images/I/51iuZl%2BjQKL.jpg,Farm 123,Parachute Press,475655.0,"April 21, 2008",4.84
10116,10116,10117,11335,0142414824,0.67380846,54.50656923654993,5.653338,52913,0.023440414507772026,178,222,207,135,150,195,http://ecx.images-amazon.com/images/I/51cTjS2dxYL.jpg,Revolting Rhymes,Roald Dahl,33995.0,"September 3, 2009",4.55
5749,5749,5749,6445,150871813X,0.7768941,65.34600842911699,5.893457,45773,0.00804,175,231,253,248,217,161,http://ecx.images-amazon.com/images/I/413dgbhvK%2BL.jpg,Children's book in Turkish: My Daddy is the Best! En Iyi Baba Benim Babam!: (Bilingual Edition) English Turkish Picture book for Children.Turkish book ... for children) (Volume 7) (Turkish Edition),Sujatha Lalgudi,682467.0,"March 3, 2015",4.01
1412,1412,1412,1564,0448422867,0.64104855,65.6367319099989,7.5275445,106397,0.0271055900621118,234,225,206,213,144,94,http://ecx.images-amazon.com/images/I/61zN7pBxH7L.jpg,Thanksgiving Is for Giving Thanks (Reading Railroad),Margaret Sutherland,10155.0,"September 11, 2000",4.48
8055,8055,8055,9033,0778742903,0.4361815,60.58636089987103,7.6600795,76135,0.015627551020408158,200,158,118,15,7,9,http://ecx.images-amazon.com/images/I/51nc7r4tNuL.jpg,"Martin Luther King, Jr. Day (Celebrations in My World)",Reagan Miller,11858608.0,"March 15, 2009",0.0
3946,3946,3946,4416,0316085324,0.47783926,90.11399548023563,7.3573309999999985,71797,0.04093567251461988,194,146,29,67,34,11,http://ecx.images-amazon.com/images/I/51FAT1RJmOL.jpg,"A Hero's Guide to Deadly Dragons (How to Train Your Dragon, Book 6)",Cressida Cowell,65713.0,"August 17, 2010",4.59
4098,4098,4098,4587,0753450127,0.53303444,89.50129690837028,7.304225,109714,0.03669671416109334,42,38,33,168,170,36,http://ecx.images-amazon.com/images/I/5140FCJ8X1L.jpg,Ishtar and Tammuz: A Babylonian Myth of the Seasons,Christopher J. Moore,1156073.0,"September 1, 1996",2.32
7138,7138,7138,8007,0822534355,0.6293138,91.36871403026014,6.969407,84528,0.021184415584415583,250,228,93,155,178,98,http://ecx.images-amazon.com/images/I/51qUQ8r6kzL.jpg,All New Crafts for Kwanzaa (All New Holiday Crafts for Kids),Kathy Ross,4368185.0,"August 15, 2006",0.0
1883,1883,1883,2095,0516264761,0.7910414000000001,58.35275199794474,6.312176,51398,0.015149038461538462,240,222,243,231,144,116,http://ecx.images-amazon.com/images/I/519XTSETYNL.jpg,Messy Bessey's Holidays (Rookie Readers: Level B),Patricia C. McKissack,1133197.0,"September 1, 1999",4.5
399,399,399,442,0886828236,0.6971891,45.50827310035696,6.6272726,7838,0.02186335403726708,238,241,213,194,154,107,http://ecx.images-amazon.com/images/I/213DY3CXZGL.jpg,The Secrets of Kaidara: An Animist Tale from Africa (Tales of Heaven and Earth),Hyacinthe Vulliez,5357895.0,"August 1, 1997",4.0
7965,7965,7965,8932,0316074845,0.33862028,37.558058112096354,6.790721400000002,29328,0.01623896103896104,74,29,35,46,28,24,http://ecx.images-amazon.com/images/I/51A8jGw44OL.jpg,Tell Them We Remember: The Story of the Holocaust,Susan D. Bachrach,891813.0,"October 3, 1994",4.93
11195,11195,11196,12552,0735315051,0.77026296,45.38789868280693,6.093992,54620,0.01884184914841849,131,183,195,253,252,248,http://ecx.images-amazon.com/images/I/51o-frXx-DL.jpg,Kids' Travel Specialty Journal,Mudpuppy,36052.0,"May 1, 2003",4.07
8753,8753,8753,9810,8178990474,0.55358034,68.0367972116305,7.127312700000001,69642,0.01893513513513513,113,163,206,105,103,65,http://ecx.images-amazon.com/images/I/510oaHQ2gNL.jpg,Sri Sathya Sai Baba: 3: Life Story for Children,R. Padmanaban,1295223.0,"August 17, 2005",0.0
1328,1328,1328,1475,1429672498,0.4505639,101.7955314198596,7.498272,116598,0.03965128205128205,189,54,238,124,89,55,http://ecx.images-amazon.com/images/I/61aX%2BjvIYSL.jpg,Motocross Greats (The Best of the Best),Lori Polydoros,3404204.0,"August 1, 2011",0.0
3934,3934,3934,4403,1432939459,0.38644174,62.78810318740629,7.149525,99616,0.050621495327102806,120,95,55,48,31,15,http://ecx.images-amazon.com/images/I/61eRy0NxoHL.jpg,Jobs on a Farm (World of Farming),Nancy Dickmann,139208.0,"September 1, 2010",4.58
10862,10862,10863,12178,1442444231,0.28130662,63.45427882791295,7.1296935,73542,0.02480241935483871,60,88,110,29,47,62,http://ecx.images-amazon.com/images/I/61aKQgbfCBL.jpg,When Washington Crossed the Delaware: A Wintertime Story for Young Patriots,Lynne Cheney,146239.0,"January 3, 2012",4.7
7510,7510,7510,8431,0547534264,0.59836584,30.38321617779919,7.441632000000001,63421,0.040410714285714286,141,176,182,144,168,159,http://ecx.images-amazon.com/images/I/51TVtWF3pbL.jpg,A Single Shard,Linda Sue Park,26005.0,"January 10, 2011",4.46
11757,11757,11758,13186,1589473698,0.547369,122.83035206967868,7.210698599999999,127192,0.02472,17,128,191,231,160,57,http://ecx.images-amazon.com/images/I/6160kzUy10L.jpg,Math 1-2: Software & Workbook,School Zone Interactive,3828172.0,"February 19, 2004",4.0
11657,11657,11658,13074,0803736789,0.5020029,53.74374968099257,6.6524034,43469,0.025391752577319588,132,190,131,218,240,217,http://ecx.images-amazon.com/images/I/61Cn0MwIdTL.jpg,Dragonbreath #7: When Fairies Go Bad,Ursula Vernon,41261.0,"September 13, 2012",4.62
7740,7740,7740,8684,088743147X,0.65823054,127.81492187481972,7.281878999999999,89232,0.021021021021021026,237,127,53,251,245,227,http://ecx.images-amazon.com/images/I/51u1j63D%2B%2BL.jpg,First Grade Big Workbook! (Ages 6-7),School Zone Publishing Company Staff,1917.0,"January 1, 2015",4.68
